Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
TCNU2981605,40GP96,,ZIM,RAILCAR,,FCL,XMN,R-DTTX652278-AT1,ZIMUMTL0083881,EXPRT,ANAM / 16,7516.72,3700,,,,,,,,,N,
BSIU2989568,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX400685-AB2,ZIMUTRT0106494,EXPRT,ANAM / 16,24452,2350,,,,,,,,,N,
BSIU2558283,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX733227-BB2,ZIMUTRT0106494,EXPRT,ANAM / 16,24512,2267,,,,,,,,,N,
ZIMU1006532,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX656284-AB2,ZIMUTRT0106494,EXPRT,ANAM / 16,24672,2350,,,,,,,,,N,
SZLU9058201,40RE96,,ZIM,YARD,,FCL,NGB,Y-DLT-B122F1,ZIMUVAN937763,EXPRT,ANAM / 16,29341,4780,,2-26-2020 2:16:54 PM,,,"PORK, FROZEN",,-20,C,Y,
ZMOU8853345,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066C1,ZIMUMTL0083834,EXPRT,ANAM / 16,14354,4330,,2-26-2020 10:38:31 AM,,,GDSM  GENERAL DEPARTMENT STORE MERCHANDISE,,20,C,Y,
ZIMU3016524,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX728026-BB2,ZIMUMTL904753,EXPRT,ANAM / 16,4600,2350,,,,,,,,,N,
CRSU1068378,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX750621-AB1,ZIMUTRT901430,EXPRT,ANAM / 16,6052,2250,,,,,,,,,N,
FSCU8249792,40GP96,,ZIM,RAILCAR,,FCL,XMN,R-DTTX742361-EB1,ZIMUMTL0083881,EXPRT,ANAM / 16,8298,3830,,,,,,,,,N,
SEGU2160054,20GP86,,ZIM,YARD,,FCL,NGB,Y-DLT-C125G3,ZIMUMTL0083594,EXPRT,ANAM / 16,23810,2350,,2-24-2020 10:37:04 PM,,,,,,,Y,
TRHU2668831,20GP86,,ZIM,YARD,,FCL,NGB,Y-DLT-C125E1,ZIMUMTL0083594,EXPRT,ANAM / 16,23870,2350,,2-24-2020 11:09:26 PM,,,,,,,Y,
TEMU1872282,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX760429-AB1,ZIMUVAN0081590,EXPRT,ANAM / 16,22565,2350,,,,,,,,,N,
TGBU2018576,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX760429-DB1,ZIMUVAN0081602,EXPRT,ANAM / 16,22517,2267,,,,,,,,,N,
FSCU8258496,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX469545-AT1,ZIMUORF0963143,EXPRT,ANAM / 16,7093.18,3830.13,,,,,,,,,N,
BSIU2793132,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760774-EB1,ZIMUORF0960985,EXPRT,ANAM / 16,18713.39,2130.07,,,,,,,,,N,
ZCSU7063612,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-D022E2,ZIMUMTL0083763,EXPRT,ANAM / 16,30366,4000,,2-20-2020 3:53:26 PM,,,,,,,Y,
ZCSU8642711,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX750621-CB1,ZIMUMTL0083427,EXPRT,ANAM / 16,28900,4000,,,,,,,,,N,
TGBU7123390,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-J384A1,ZIMUMTL0083427,EXPRT,ANAM / 16,28700,3701,,2-22-2020 10:15:13 AM,,,,,,,Y,
ZIMU1009887,20GP86,,ZIM,YARD,,FCL,NGB,Y-DLT-C125G4,ZIMUMTL0083594,EXPRT,ANAM / 16,23870,2350,,2-24-2020 11:36:38 PM,,,,,,,Y,
ZIMU1031535,20GP86,,ZIM,YARD,,FCL,YOK,Y-DLT-C085D1,ZIMUMTL0083808,EXPRT,ANAM / 16,23860,2350,,2-22-2020 4:59:30 PM,,,,,,,Y,
ZIMU1172066,20GP86,,ZIM,YARD,,FCL,NGB,Y-DLT-C125E2,ZIMUMTL0083594,EXPRT,ANAM / 16,23910,2350,,2-24-2020 10:46:21 PM,,,,,,,Y,
ZCSU7046322,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-D022E3,ZIMUMTL0083763,EXPRT,ANAM / 16,30366,4000,,2-20-2020 3:33:29 PM,,,,,,,Y,
GCXU5083572,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-J412C1,ZIMUMTL0083763,EXPRT,ANAM / 16,30166,3700,,2-20-2020 3:13:47 PM,,,,,,,Y,
CLHU2762521,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX400685-CB2,ZIMUVAN0081151,EXPRT,ANAM / 16,24612,2267,,,,,AGRICULTURAL PRODUCT,,,,N,
EURU1142294,20TD86,,ZIM,YARD,,FCL,PUS,Y-DLT-C123F2,ZIMUTRT0106909,EXPRT,ANAM / 16,4115,2350,,2-20-2020 3:03:44 PM,,,,,,,Y,
EURU1142041,20TD86,,ZIM,YARD,,FCL,PUS,Y-DLT-D119G2,ZIMUTRT0106909,EXPRT,ANAM / 16,4425,2350,,2-22-2020 8:03:52 AM,,,,,,,Y,
ZIMU1414977,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX733227-AB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24672,2350,,,,,AGRICULTURAL PRODUCT,,,,N,
TCNU1826522,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX788653-AB1,ZIMUORF0964813,EXPRT,ANAM / 16,5844.99,4000,,,,,,,,,N,
TGBU5955934,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX748423-AT1,ZIMUTRT0106871,EXPRT,ANAM / 16,14825,3700,,,,,,,,,N,
TEMU4805138,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX452986-AB2,ZIMUVAN0081151,EXPRT,ANAM / 16,24552,2267,,,,,AGRICULTURAL PRODUCT,,,,N,
ZIMU1386200,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX728026-BB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24672,2258,,,,,AGRICULTURAL PRODUCT,,,,N,
CAXU6953195,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX400685-BB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24552,2350,,,,,AGRICULTURAL PRODUCT,,,,N,
TRHU3229685,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX733227-BB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24512,2350,,,,,AGRICULTURAL PRODUCT,,,,N,
ZIMU2950911,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX766587-CB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24652,2250,,,,,AGRICULTURAL PRODUCT,,,,N,
TCLU2414986,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX786010-BB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24552,2267,,,,,AGRICULTURAL PRODUCT,,,,N,
DFSU1611420,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX741137-EB2,ZIMUVAN0081151,EXPRT,ANAM / 16,24472,2350,,,,,AGRICULTURAL PRODUCT,,,,N,
ZIMU2783162,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX766587-BB1,ZIMUVAN0081151,EXPRT,ANAM / 16,24592,2350,,,,,AGRICULTURAL PRODUCT,,,,N,
