Container,SzTpHt,,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
FSCU8166574,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX62748-CB1,ZIMUVAN934460,EXPRT,GIAN / 44,5473,4000,,,,,,,,,N,
TRHU3224512,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787206-BB2,ZIMUTRT0095241,EXPRT,GIAN / 44,23516,2350,,,,,,,,,N,
ZIMU1335008,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787723-BB2,ZIMUTRT0095241,EXPRT,GIAN / 44,23596,2260,,,,,,,,,N,
TGHU9615370,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX759805-CB1,ZIMULAX0131615,EXPRT,GIAN / 44,23394.93,4000,,,,,,,,,N,
TLLU5316657,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX62324-EB1,ZIMUVAN934389,EXPRT,GIAN / 44,5499.35,3810.18,,,,,,,,,N,
TEMU4668631,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX659614-AB2,SSPHTRT0095738,EXPRT,GIAN / 44,20335,2350,,,,,,,,,N,
CRSU9061153,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-FEC72015-AT1,ZIMUORF0831106,EXPRT,GIAN / 44,26125,3900,,,,,,,,,N,
DFSU6298581,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX787609-AB2,ZIMUORF0831106,EXPRT,GIAN / 44,26026,4000,,,,,,,,,N,
DFSU6496139,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-CP527630-AB1,ZIMUORF0831106,EXPRT,GIAN / 44,26026,4000,,,,,,,,,N,
FCIU8954772,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX645377-AT1,ZIMUORF0831106,EXPRT,GIAN / 44,26056,4000,,,,,,,,,N,
SEGU5754907,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX645377-AB1,ZIMUORF0833461,EXPRT,GIAN / 44,26056,4000,,,,,,,,,N,
