Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,A,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5969212,40RE96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-301682,ZIMUVAN937929,EXPRT,ANAM / 09,20597.21,4810,,3-4-2020 2:15:30 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,ZCSU596921,,,,,,,,,,,,,,,,
BMOU4520975,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301010,ZIMUVAN0081199,EXPRT,ANAM / 09,28765,3860,,3-4-2020 5:42:39 PM,,,LUMBER,,,,N,,,,,,,,,BMOU452097,,,,,,,,,,,,,,,,
UESU5262790,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301008,ZIMUVAN0081199,EXPRT,ANAM / 09,29070,4000,,3-4-2020 5:46:43 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5110459,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500286,ZIMUHFX0024800,EXPRT,ANAM / 09,25941,4680,,3-4-2020 10:39:24 AM,,,FAK OR CARGO NOS,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8715715,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660414,ZIMUORF0962701,EXPRT,ANAM / 09,28900,3900,,3-4-2020 8:59:28 AM,,,CUT GREENS,,,,N,,,,,,,,,ZCSU871571,,,,,,,,,,,,,,,,
ZCSU8730392,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101284,ZIMUVAN0081609,EXPRT,ANAM / 09,26099,3900,,3-4-2020 9:01:10 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZMOU8840008,40RE96,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-660310,ZIMUMTL0083011,EXPRT,ANAM / 09,30495.62,4700,,2-26-2020 10:15:39 AM,,,GDSM  GENERAL DEPARTMENT STORE MERCHANDISE,,-18,C,N,,,,,,,,,ZMOU884000,,,,,,,,,,,,,,,,
TCNU8538087,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101282,ZIMUVAN0081496,EXPRT,ANAM / 09,26630,3900,,3-4-2020 9:22:46 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU6542483,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220808,ZIMUVAN0081645,EXPRT,ANAM / 09,27995,3730,,3-4-2020 9:23:28 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8682334,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220806,ZIMUVAN0081645,EXPRT,ANAM / 09,28155,3900,,3-4-2020 9:32:13 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TEMU6796230,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301016,ZIMUVAN0081199,EXPRT,ANAM / 09,29420,4000,,3-4-2020 5:36:55 PM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
